epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,729.274,1.62139,1.06701,1.29382,0.73636,0.86,0.77731,0.30365,1.60361,1.10289,1.1964,0.0011684,0.0011684,0.0011684
44,746.331,1.63994,1.05631,1.29188,0.85266,0.86,0.83163,0.31782,1.66334,1.18799,1.19899,0.0011486,0.0011486,0.0011486
45,763.43,1.57432,1.07465,1.24488,0.79973,0.86,0.84783,0.40128,1.56778,1.09486,1.16692,0.0011288,0.0011288,0.0011288
46,780.625,1.63075,1.0598,1.26887,0.81049,0.84,0.79283,0.3465,1.70132,1.07962,1.20267,0.001109,0.001109,0.001109
47,797.562,1.55405,1.07073,1.22811,0.85613,0.9,0.83652,0.3743,1.61672,1.0604,1.16832,0.0010892,0.0010892,0.0010892
48,814.611,1.56118,1.02741,1.23177,0.87693,0.92,0.87999,0.39345,1.64076,1.06151,1.17936,0.0010694,0.0010694,0.0010694
49,831.651,1.55395,1.03156,1.23054,0.79224,0.8,0.83804,0.36836,1.5963,1.07344,1.17871,0.0010496,0.0010496,0.0010496
50,848.623,1.57468,1.04879,1.23324,0.71733,0.76135,0.69521,0.25422,1.86022,1.24563,1.28933,0.0010298,0.0010298,0.0010298
51,865.653,1.58475,1.07916,1.2577,0.90919,0.94,0.91982,0.39808,1.5654,1.03408,1.15098,0.00101,0.00101,0.00101
52,882.638,1.53604,1.03527,1.24567,0.92011,0.94,0.94932,0.44787,1.56509,0.96572,1.15308,0.0009902,0.0009902,0.0009902
53,899.762,1.57018,1.03674,1.23848,0.74476,0.75867,0.70466,0.26557,1.86518,1.21498,1.3082,0.0009704,0.0009704,0.0009704
54,916.79,1.55836,1.00648,1.24616,0.75517,0.76,0.71079,0.25917,1.83222,1.31626,1.27914,0.0009506,0.0009506,0.0009506
55,933.747,1.55568,1.03955,1.23311,0.91623,0.94,0.91269,0.43094,1.49723,0.96232,1.12286,0.0009308,0.0009308,0.0009308
56,950.826,1.54023,1.01272,1.21451,0.87289,0.88,0.82023,0.35071,1.71627,1.0079,1.21624,0.000911,0.000911,0.000911
57,967.866,1.5335,1.01982,1.25156,0.93321,0.94,0.92421,0.43167,1.52498,0.9253,1.14046,0.0008912,0.0008912,0.0008912
58,984.545,1.51151,1.02799,1.22144,0.85293,0.86,0.86529,0.36753,1.65669,1.05583,1.19539,0.0008714,0.0008714,0.0008714
59,1001.87,1.49054,1.02349,1.19545,0.91161,0.92,0.87902,0.3808,1.54875,1.01154,1.13916,0.0008516,0.0008516,0.0008516
60,1019.01,1.53489,1.01147,1.23642,0.90834,0.92,0.92526,0.39542,1.63808,0.97388,1.18332,0.0008318,0.0008318,0.0008318
61,1036.02,1.52638,1.00154,1.21437,0.8669,0.88,0.85221,0.33114,1.6266,1.09617,1.17339,0.000812,0.000812,0.000812
62,1053.23,1.4951,0.99589,1.19473,0.68857,0.72,0.609,0.2209,1.8982,1.30166,1.31583,0.0007922,0.0007922,0.0007922
63,1070.3,1.48935,0.96593,1.186,0.75722,0.78,0.7029,0.30551,1.71418,1.11715,1.21429,0.0007724,0.0007724,0.0007724
64,1087.4,1.50738,0.99972,1.2019,0.83157,0.84,0.76978,0.36059,1.61708,1.02248,1.17774,0.0007526,0.0007526,0.0007526
65,1104.42,1.44641,0.96472,1.17887,0.91454,0.92,0.90032,0.39605,1.6272,0.94018,1.17633,0.0007328,0.0007328,0.0007328
66,1121.46,1.50899,0.97088,1.20534,0.81059,0.82,0.75672,0.35984,1.67305,0.99561,1.19977,0.000713,0.000713,0.000713
67,1138.27,1.47566,0.95478,1.18236,0.80647,0.84,0.75637,0.35682,1.61693,1.02159,1.18308,0.0006932,0.0006932,0.0006932
68,1155.29,1.50692,0.93747,1.19854,0.82268,0.83519,0.77674,0.36129,1.58676,1.05134,1.17922,0.0006734,0.0006734,0.0006734
69,1172.7,1.46074,0.93024,1.19997,0.78313,0.79451,0.70856,0.26256,1.82307,1.18114,1.28288,0.0006536,0.0006536,0.0006536
70,1190.33,1.52911,0.96071,1.22432,0.8549,0.86,0.81165,0.37674,1.55606,0.99302,1.15947,0.0006338,0.0006338,0.0006338
71,1207.31,1.49425,0.96173,1.1921,0.83625,0.84,0.76712,0.36576,1.57188,1.00435,1.17388,0.000614,0.000614,0.000614
72,1224.29,1.43577,0.92175,1.15446,0.7777,0.8,0.69151,0.30865,1.73555,1.1118,1.25494,0.0005942,0.0005942,0.0005942
73,1241.24,1.44562,0.90883,1.19051,0.79492,0.8,0.71643,0.31446,1.74263,1.0973,1.26626,0.0005744,0.0005744,0.0005744
74,1258.29,1.46187,0.94157,1.17021,0.91554,0.92,0.87063,0.38806,1.58629,0.99302,1.19653,0.0005546,0.0005546,0.0005546
75,1275.22,1.41872,0.90016,1.19685,0.86766,0.88,0.81733,0.34141,1.66585,1.06663,1.22433,0.0005348,0.0005348,0.0005348
76,1292.45,1.4824,0.94252,1.20044,0.91103,0.92,0.8795,0.41076,1.62933,0.95593,1.17711,0.000515,0.000515,0.000515
77,1309.54,1.44114,0.89492,1.16591,0.91517,0.92,0.87204,0.40688,1.54701,0.95389,1.15124,0.0004952,0.0004952,0.0004952
78,1326.73,1.49476,0.90429,1.2047,0.77218,0.78,0.70312,0.32841,1.6537,1.06722,1.22525,0.0004754,0.0004754,0.0004754
79,1343.96,1.38967,0.86336,1.1576,0.8157,0.82,0.76819,0.29924,1.81918,1.14753,1.29561,0.0004556,0.0004556,0.0004556
80,1361.15,1.43968,0.88493,1.16036,0.89545,0.9,0.8564,0.41016,1.56598,0.93757,1.16929,0.0004358,0.0004358,0.0004358
81,1378.1,1.43829,0.88602,1.17654,0.84068,0.86,0.81614,0.37631,1.56342,1.03096,1.16621,0.000416,0.000416,0.000416
82,1395.11,1.41479,0.89486,1.17426,0.85359,0.86,0.81135,0.3307,1.70101,1.0524,1.22558,0.0003962,0.0003962,0.0003962
83,1412.33,1.40918,0.87828,1.15846,0.85459,0.86,0.81221,0.33416,1.6417,1.08588,1.21675,0.0003764,0.0003764,0.0003764
84,1429.54,1.39309,0.84945,1.1341,0.77466,0.78,0.70376,0.28834,1.7291,1.16985,1.25343,0.0003566,0.0003566,0.0003566
85,1446.67,1.41109,0.83473,1.16027,0.83581,0.84,0.78023,0.33913,1.68541,1.05211,1.2273,0.0003368,0.0003368,0.0003368
86,1464.12,1.39449,0.8395,1.15067,0.77591,0.78,0.73009,0.27159,1.91331,1.18792,1.35106,0.000317,0.000317,0.000317
87,1481.29,1.411,0.84435,1.16964,0.85622,0.86,0.83235,0.35101,1.6699,1.02447,1.20803,0.0002972,0.0002972,0.0002972
88,1498.63,1.38348,0.83136,1.14765,0.85669,0.86,0.807,0.36458,1.67151,1.02495,1.20714,0.0002774,0.0002774,0.0002774
89,1515.54,1.35442,0.82455,1.12463,0.8173,0.82,0.77864,0.34662,1.69283,1.06016,1.21525,0.0002576,0.0002576,0.0002576
90,1532.25,1.34338,0.79174,1.1189,0.77688,0.78,0.7334,0.31256,1.80867,1.12962,1.28209,0.0002378,0.0002378,0.0002378
91,1549.18,1.36047,0.82618,1.24447,0.77532,0.78,0.73657,0.31627,1.82616,1.14947,1.31518,0.000218,0.000218,0.000218
92,1565.84,1.35098,0.78862,1.22278,0.79724,0.8,0.75981,0.32633,1.74106,1.10781,1.25029,0.0001982,0.0001982,0.0001982
93,1582.36,1.33189,0.81313,1.21539,0.85645,0.86,0.82055,0.38682,1.62184,0.99587,1.18304,0.0001784,0.0001784,0.0001784
94,1599.23,1.30756,0.81734,1.19397,0.79578,0.8,0.73766,0.31573,1.73387,1.1106,1.24679,0.0001586,0.0001586,0.0001586
95,1615.79,1.34367,0.79962,1.21911,0.81733,0.82,0.78573,0.35557,1.64263,1.07186,1.19561,0.0001388,0.0001388,0.0001388
96,1632.42,1.29842,0.80648,1.23096,0.83702,0.84,0.80458,0.37062,1.61004,1.02744,1.17472,0.000119,0.000119,0.000119
97,1649.04,1.30968,0.80046,1.19797,0.83738,0.84,0.81163,0.36986,1.6306,1.01231,1.18675,9.92e-05,9.92e-05,9.92e-05
98,1665.89,1.26826,0.78065,1.19293,0.87702,0.88,0.84566,0.38052,1.62379,0.99065,1.18215,7.94e-05,7.94e-05,7.94e-05
99,1682.5,1.28509,0.76493,1.19354,0.85886,0.86,0.84708,0.3897,1.6111,0.98662,1.17677,5.96e-05,5.96e-05,5.96e-05
100,1699.18,1.29469,0.76235,1.2,0.87732,0.88,0.85767,0.40711,1.58645,0.96645,1.16408,3.98e-05,3.98e-05,3.98e-05
