epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,336.764,1.63395,1.16411,1.37332,0.72284,0.82,0.74474,0.25544,1.91139,1.20277,1.30462,0.0011684,0.0011684,0.0011684
44,344.73,1.58356,1.13202,1.29994,0.7511,0.9,0.83055,0.32646,1.8077,1.09925,1.2966,0.0011486,0.0011486,0.0011486
45,352.71,1.6292,1.15684,1.37317,0.64645,0.8,0.78155,0.35306,1.78335,1.06539,1.24981,0.0011288,0.0011288,0.0011288
46,360.633,1.57722,1.09592,1.34871,0.7487,0.84,0.75691,0.26429,1.91535,1.17189,1.33813,0.001109,0.001109,0.001109
47,368.516,1.58169,1.09565,1.37145,0.79616,0.88,0.85265,0.31228,1.71887,1.15861,1.21715,0.0010892,0.0010892,0.0010892
48,376.436,1.53266,1.05352,1.30891,0.86855,0.92508,0.88175,0.38313,1.65116,1.03195,1.19379,0.0010694,0.0010694,0.0010694
49,384.459,1.52165,1.04076,1.30431,0.82985,0.9,0.84765,0.33239,1.76753,1.06734,1.26459,0.0010496,0.0010496,0.0010496
50,392.291,1.5552,1.06327,1.31787,0.77543,0.82,0.74552,0.28067,1.8802,1.1354,1.3028,0.0010298,0.0010298,0.0010298
51,400.184,1.57592,1.07124,1.31334,0.70575,0.8,0.70334,0.25955,1.88833,1.15672,1.2964,0.00101,0.00101,0.00101
52,408.122,1.5753,1.06162,1.35424,0.56523,0.68,0.5689,0.22523,1.73233,1.26101,1.2528,0.0009902,0.0009902,0.0009902
53,416.027,1.57636,1.06547,1.31938,0.74434,0.88,0.77546,0.31973,1.63368,1.11713,1.21465,0.0009704,0.0009704,0.0009704
54,423.61,1.52173,1.01771,1.3081,0.79438,0.85003,0.81715,0.32351,1.75352,1.11879,1.27035,0.0009506,0.0009506,0.0009506
55,431.25,1.5391,1.03695,1.31929,0.73016,0.88,0.80268,0.32936,1.71773,1.10695,1.22049,0.0009308,0.0009308,0.0009308
56,438.972,1.50442,1.0343,1.27622,0.85638,0.94,0.84758,0.35699,1.78093,1.04614,1.25617,0.000911,0.000911,0.000911
57,446.651,1.51391,1.00857,1.28375,0.86326,0.96,0.93827,0.43957,1.60207,0.97419,1.16621,0.0008912,0.0008912,0.0008912
58,454.383,1.54305,1.02842,1.29989,0.72041,0.84,0.7735,0.34321,1.66447,1.05008,1.21291,0.0008714,0.0008714,0.0008714
59,462.01,1.5142,0.98029,1.30013,0.70123,0.75114,0.68053,0.21305,2.01206,1.18114,1.43791,0.0008516,0.0008516,0.0008516
60,469.758,1.50121,0.99267,1.28302,0.75602,0.80575,0.74641,0.25765,1.8815,1.12527,1.31426,0.0008318,0.0008318,0.0008318
61,477.563,1.45412,0.95578,1.26679,0.90078,0.94,0.93165,0.39695,1.71257,0.98227,1.20956,0.000812,0.000812,0.000812
62,485.572,1.46062,0.94478,1.25868,0.79802,0.8,0.79088,0.27238,1.94045,1.08838,1.35707,0.0007922,0.0007922,0.0007922
63,493.595,1.45941,0.95659,1.26856,0.78947,0.82507,0.80705,0.29149,1.85542,1.07872,1.31451,0.0007724,0.0007724,0.0007724
64,501.71,1.50343,0.93182,1.28925,0.79282,0.82,0.76676,0.29025,1.88572,1.0849,1.32915,0.0007526,0.0007526,0.0007526
65,509.625,1.49178,0.96543,1.28622,0.88476,0.94,0.91175,0.43126,1.65746,0.92794,1.1786,0.0007328,0.0007328,0.0007328
66,517.397,1.47131,0.97577,1.28902,0.84444,0.86,0.83382,0.32199,1.79809,1.07313,1.26087,0.000713,0.000713,0.000713
67,525.017,1.46208,0.95889,1.29585,0.71614,0.78,0.69117,0.23157,1.95754,1.21969,1.35489,0.0006932,0.0006932,0.0006932
68,532.635,1.43981,0.9169,1.24243,0.87581,0.9,0.85379,0.34678,1.77239,0.98281,1.23552,0.0006734,0.0006734,0.0006734
69,540.125,1.44841,0.91425,1.25059,0.82403,0.94,0.865,0.37499,1.65378,0.99698,1.21295,0.0006536,0.0006536,0.0006536
70,547.881,1.42283,0.89765,1.23241,0.84682,0.88462,0.82623,0.31863,1.7077,1.03253,1.2329,0.0006338,0.0006338,0.0006338
71,555.776,1.43637,0.8924,1.22119,0.8601,0.88,0.85587,0.3869,1.66914,0.95385,1.1998,0.000614,0.000614,0.000614
72,563.451,1.40764,0.86767,1.26112,0.80822,0.82,0.76737,0.28385,1.92334,1.08455,1.34134,0.0005942,0.0005942,0.0005942
73,571.471,1.40229,0.88526,1.25213,0.80683,0.83542,0.78065,0.29404,1.91256,0.97372,1.31292,0.0005744,0.0005744,0.0005744
74,579.535,1.40177,0.88238,1.25809,0.87194,0.92,0.88177,0.36887,1.7316,0.98437,1.2298,0.0005546,0.0005546,0.0005546
75,587.326,1.40207,0.89609,1.24676,0.87441,0.88,0.87689,0.36485,1.73113,0.99934,1.2364,0.0005348,0.0005348,0.0005348
76,595.612,1.3811,0.85949,1.19752,0.87626,0.88,0.83904,0.31739,1.89984,0.95913,1.33743,0.000515,0.000515,0.000515
77,603.495,1.38369,0.84015,1.18701,0.85117,0.92,0.8531,0.31475,1.78156,1.00324,1.2884,0.0004952,0.0004952,0.0004952
78,611.403,1.37294,0.84161,1.23266,0.88987,0.9,0.85513,0.33407,1.8029,0.96979,1.31121,0.0004754,0.0004754,0.0004754
79,619.155,1.36911,0.79966,1.21615,0.87296,0.88,0.84416,0.31381,1.92717,0.9665,1.37713,0.0004556,0.0004556,0.0004556
80,627.183,1.37327,0.82975,1.24205,0.88408,0.92,0.86966,0.29018,1.89951,1.03022,1.36117,0.0004358,0.0004358,0.0004358
81,635.081,1.34858,0.82152,1.18296,0.88612,0.9,0.88924,0.3301,1.81307,0.98602,1.31335,0.000416,0.000416,0.000416
82,642.997,1.36667,0.80837,1.20806,0.88314,0.90692,0.90595,0.3245,1.81073,1.00777,1.28345,0.0003962,0.0003962,0.0003962
83,651.171,1.31275,0.81198,1.18789,0.81139,0.86,0.80071,0.29424,1.90278,1.00691,1.3451,0.0003764,0.0003764,0.0003764
84,659.449,1.34622,0.79486,1.19004,0.86846,0.92441,0.87019,0.34053,1.77863,0.93029,1.27263,0.0003566,0.0003566,0.0003566
85,667.68,1.32608,0.7912,1.18898,0.86078,0.88,0.85599,0.30905,1.8647,0.96039,1.33508,0.0003368,0.0003368,0.0003368
86,675.525,1.3355,0.79056,1.19799,0.81079,0.84,0.80439,0.2992,1.85227,0.95831,1.34472,0.000317,0.000317,0.000317
87,683.295,1.27653,0.75707,1.18815,0.86005,0.88,0.86457,0.3275,1.88169,0.95375,1.34827,0.0002972,0.0002972,0.0002972
88,690.942,1.33235,0.76946,1.18951,0.81231,0.84,0.81867,0.31621,1.89705,0.9554,1.37551,0.0002774,0.0002774,0.0002774
89,698.676,1.25937,0.75697,1.13581,0.82758,0.86,0.80277,0.27869,1.91013,1.00349,1.40703,0.0002576,0.0002576,0.0002576
90,706.495,1.26517,0.73299,1.18269,0.8408,0.86,0.83124,0.29492,1.95979,0.96963,1.43911,0.0002378,0.0002378,0.0002378
91,742.165,1.24865,0.74604,1.23522,0.81933,0.84,0.82423,0.27274,2.01052,1.02482,1.4413,0.000218,0.000218,0.000218
92,749.712,1.23812,0.71805,1.22517,0.84322,0.86,0.81969,0.30416,1.9518,0.92384,1.40825,0.0001982,0.0001982,0.0001982
93,757.391,1.22507,0.71579,1.22648,0.80729,0.84,0.77722,0.28502,1.95928,0.95499,1.42314,0.0001784,0.0001784,0.0001784
94,765.219,1.22182,0.70105,1.2153,0.82618,0.84,0.78807,0.28707,1.95127,0.95352,1.41729,0.0001586,0.0001586,0.0001586
95,772.814,1.18012,0.69359,1.20281,0.84433,0.8679,0.83613,0.31031,1.90235,0.95436,1.38097,0.0001388,0.0001388,0.0001388
96,780.609,1.20245,0.68705,1.19297,0.86737,0.88,0.84564,0.31377,1.87429,0.94061,1.35894,0.000119,0.000119,0.000119
97,788.298,1.22685,0.70564,1.24591,0.8259,0.85395,0.80871,0.32136,1.86575,0.90707,1.35716,9.92e-05,9.92e-05,9.92e-05
98,796.123,1.15838,0.69147,1.21889,0.8312,0.84,0.8173,0.27855,1.95549,0.95912,1.4268,7.94e-05,7.94e-05,7.94e-05
99,803.736,1.20594,0.6769,1.21178,0.84511,0.87307,0.83438,0.31476,1.92857,0.9222,1.39643,5.96e-05,5.96e-05,5.96e-05
100,811.364,1.19315,0.67444,1.22058,0.82562,0.85233,0.81064,0.28382,1.97685,0.94086,1.43457,3.98e-05,3.98e-05,3.98e-05
