epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,144.694,1.6865,1.38829,1.49387,0.61856,0.4,0.44769,0.14088,2.12743,1.89358,1.96462,0.0011882,0.0011882,0.0011882
43,148.215,1.72412,1.31709,1.57767,0.62015,0.4,0.44401,0.16531,2.22079,1.83509,2.04376,0.0011684,0.0011684,0.0011684
44,151.596,1.77597,1.31854,1.50754,0.60944,0.33333,0.38972,0.13483,2.0886,1.913,1.91804,0.0011486,0.0011486,0.0011486
45,155.107,1.94028,1.39165,1.65574,0.45964,0.33333,0.38975,0.14097,2.1015,1.9612,1.93078,0.0011288,0.0011288,0.0011288
46,158.614,1.86828,1.47559,1.6217,0.53889,0.36667,0.38169,0.12949,2.32291,1.89406,2.14205,0.001109,0.001109,0.001109
47,161.969,1.6773,1.40151,1.56667,0.60435,0.33333,0.39146,0.12157,2.66068,1.95641,2.4717,0.0010892,0.0010892,0.0010892
48,165.521,1.88499,1.50612,1.61248,0.42141,0.33333,0.34877,0.11636,2.52749,1.94695,2.3382,0.0010694,0.0010694,0.0010694
49,168.943,1.72368,1.36054,1.50771,0.39989,0.36667,0.33102,0.11582,2.34913,2.082,2.15456,0.0010496,0.0010496,0.0010496
50,172.254,1.83328,1.26832,1.6031,0.5667,0.3,0.36396,0.11132,2.29533,2.13152,2.03847,0.0010298,0.0010298,0.0010298
51,175.751,1.80666,1.38816,1.58912,0.53961,0.42989,0.46539,0.15055,2.20597,1.9902,1.98238,0.00101,0.00101,0.00101
52,179.227,1.75934,1.35001,1.59548,0.63945,0.53333,0.52177,0.16168,2.23813,1.83051,2.06275,0.0009902,0.0009902,0.0009902
53,182.516,1.71635,1.31069,1.55487,0.5946,0.5,0.48676,0.16383,2.18152,1.8048,1.97947,0.0009704,0.0009704,0.0009704
54,185.873,1.74019,1.26692,1.54057,0.5616,0.53333,0.48265,0.1687,2.14706,1.85006,1.93688,0.0009506,0.0009506,0.0009506
55,189.435,1.76732,1.30783,1.57702,0.47625,0.5,0.51042,0.17208,2.16057,1.86041,1.95473,0.0009308,0.0009308,0.0009308
56,192.812,1.64338,1.23062,1.48739,0.49944,0.56667,0.50971,0.15215,2.25714,1.7832,2.07439,0.000911,0.000911,0.000911
57,196.363,1.77173,1.2976,1.58906,0.50589,0.56667,0.48257,0.15124,2.30476,1.73278,2.12186,0.0008912,0.0008912,0.0008912
58,199.863,1.6635,1.28955,1.51399,0.60981,0.56667,0.54391,0.16867,2.32468,1.72682,2.13833,0.0008714,0.0008714,0.0008714
59,203.234,1.57325,1.29966,1.4736,0.62386,0.53333,0.52754,0.15171,2.23998,1.76397,2.02898,0.0008516,0.0008516,0.0008516
60,206.719,1.64212,1.25299,1.53153,0.61269,0.56667,0.52523,0.1835,2.15509,1.68588,1.97668,0.0008318,0.0008318,0.0008318
61,210.199,1.77808,1.20022,1.53623,0.54751,0.56667,0.55359,0.19893,2.19217,1.65609,2.00678,0.000812,0.000812,0.000812
62,213.69,1.62102,1.21048,1.49064,0.60867,0.46667,0.51234,0.16373,2.19912,1.81177,2.00301,0.0007922,0.0007922,0.0007922
63,217.266,1.64588,1.23689,1.47314,0.39143,0.46667,0.42121,0.14586,2.17606,1.93046,1.98045,0.0007724,0.0007724,0.0007724
